,grado
1220,0.0
1221,1.0
1222,1.0
1223,0.0
1224,1.0
1225,1.0
1226,0.0
1227,0.0
1228,3.0
1229,1.0
1230,0.0
1231,1.0
1232,0.0
1233,1.0
1234,1.0
1235,2.0
1236,0.0
1237,0.0
1238,1.0
1239,1.0
1240,0.0
1241,1.0
1242,0.0
1243,0.0
1244,0.0
1245,1.0
1246,0.0
1247,0.0
1248,1.0
1249,1.0
1250,0.0
1251,2.0
1252,0.0
1253,0.0
1254,0.0
1255,1.0
1256,0.0
1257,0.0
1258,2.0
1259,1.0
1260,0.0
1261,0.0
1262,0.0
1263,1.0
1264,0.0
1265,2.0
1266,0.0
1267,1.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,1.0
1273,1.0
1274,0.0
1275,1.0
1276,0.0
1277,0.0
1278,0.0
1279,1.0
1280,1.0
1281,1.0
1282,0.0
1283,0.0
1284,1.0
1285,0.0
1286,0.0
1287,0.0
1288,0.0
1289,1.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,2.0
1295,0.0
1296,0.0
1297,3.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,1.0
1304,0.0
1305,1.0
1306,1.0
1307,1.0
1308,0.0
1309,0.0
1310,2.0
1311,0.0
1312,0.0
1313,0.0
1314,1.0
1315,0.0
1316,0.0
1317,2.0
1318,0.0
1319,1.0
1320,2.0
1321,2.0
1322,0.0
1323,1.0
1324,3.0
1325,0.0
1326,2.0
1327,1.0
1328,0.0
1329,0.0
1330,1.0
1331,2.0
1332,0.0
1333,1.0
1334,1.0
1335,1.0
1336,1.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,1.0
1343,0.0
1344,2.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,1.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,1.0
1360,0.0
1361,0.0
1362,0.0
1363,1.0
1364,1.0
1365,0.0
1366,1.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,1.0
1374,1.0
1375,0.0
1376,1.0
1377,1.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,1.0
1385,1.0
1386,1.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,1.0
1399,0.0
1400,0.0
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,1.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,1.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,1.0
