,percent,Compagnia,GC
98,98,Tim,1.0
99,99,Tim,1.0
100,100,Tim,0.94
101,101,Tim,0.742857142857
102,102,Tim,0.55
103,103,Tim,0.2
104,0,Vodafone,1.0
105,1,Vodafone,1.0
106,2,Vodafone,1.0
107,3,Vodafone,1.0
108,4,Vodafone,1.0
109,5,Vodafone,1.0
110,6,Vodafone,1.0
111,7,Vodafone,1.0
112,8,Vodafone,1.0
113,9,Vodafone,1.0
114,10,Vodafone,1.0
115,11,Vodafone,1.0
116,12,Vodafone,1.0
117,13,Vodafone,1.0
118,14,Vodafone,1.0
119,15,Vodafone,1.0
120,16,Vodafone,1.0
121,17,Vodafone,1.0
122,18,Vodafone,1.0
123,19,Vodafone,1.0
124,20,Vodafone,1.0
125,21,Vodafone,1.0
126,22,Vodafone,1.0
127,23,Vodafone,1.0
128,24,Vodafone,1.0
129,25,Vodafone,1.0
130,26,Vodafone,1.0
131,27,Vodafone,1.0
132,28,Vodafone,1.0
133,29,Vodafone,1.0
134,30,Vodafone,1.0
135,31,Vodafone,1.0
136,32,Vodafone,1.0
137,33,Vodafone,1.0
138,34,Vodafone,1.0
139,35,Vodafone,1.0
140,36,Vodafone,1.0
141,37,Vodafone,1.0
142,38,Vodafone,1.0
143,39,Vodafone,1.0
144,40,Vodafone,1.0
145,41,Vodafone,1.0
146,42,Vodafone,1.0
147,43,Vodafone,1.0
148,44,Vodafone,1.0
149,45,Vodafone,1.0
150,46,Vodafone,1.0
151,47,Vodafone,1.0
152,48,Vodafone,1.0
153,49,Vodafone,1.0
154,50,Vodafone,1.0
155,51,Vodafone,1.0
156,52,Vodafone,1.0
157,53,Vodafone,1.0
158,54,Vodafone,1.0
159,55,Vodafone,1.0
160,56,Vodafone,1.0
161,57,Vodafone,1.0
162,58,Vodafone,1.0
163,59,Vodafone,1.0
164,60,Vodafone,1.0
165,61,Vodafone,1.0
166,62,Vodafone,1.0
167,63,Vodafone,1.0
168,64,Vodafone,1.0
169,65,Vodafone,1.0
170,66,Vodafone,1.0
171,67,Vodafone,1.0
172,68,Vodafone,1.0
173,69,Vodafone,1.0
174,70,Vodafone,1.0
175,71,Vodafone,1.0
176,72,Vodafone,1.0
177,73,Vodafone,1.0
178,74,Vodafone,1.0
179,75,Vodafone,1.0
180,76,Vodafone,1.0
181,77,Vodafone,1.0
182,78,Vodafone,0.950138504155
183,79,Vodafone,0.947976878613
184,80,Vodafone,0.945619335347
185,81,Vodafone,0.949367088608
186,82,Vodafone,0.946843853821
187,83,Vodafone,0.947552447552
188,84,Vodafone,0.933579335793
189,85,Vodafone,0.92578125
190,86,Vodafone,0.929460580913
191,87,Vodafone,0.911504424779
192,88,Vodafone,0.890995260664
193,89,Vodafone,0.862244897959
194,90,Vodafone,0.839779005525
195,91,Vodafone,0.83734939759
196,92,Vodafone,0.834437086093
197,93,Vodafone,0.830882352941
198,94,Vodafone,0.826446280992
199,95,Vodafone,0.830188679245
200,96,Vodafone,0.626373626374
201,97,Vodafone,0.565789473684
202,98,Vodafone,0.540983606557
203,99,Vodafone,0.282608695652
204,100,Vodafone,0.0322580645161
205,101,Vodafone,0.0625
206,102,Vodafone,1.0
207,0,Wind,1.0
208,1,Wind,1.0
209,2,Wind,1.0
210,3,Wind,1.0
211,4,Wind,1.0
212,5,Wind,1.0
213,6,Wind,1.0
214,7,Wind,1.0
215,8,Wind,1.0
216,9,Wind,1.0
217,10,Wind,1.0
218,11,Wind,1.0
219,12,Wind,1.0
220,13,Wind,1.0
221,14,Wind,1.0
222,15,Wind,1.0
223,16,Wind,1.0
224,17,Wind,1.0
225,18,Wind,1.0
226,19,Wind,1.0
227,20,Wind,1.0
228,21,Wind,1.0
229,22,Wind,1.0
230,23,Wind,1.0
231,24,Wind,1.0
232,25,Wind,1.0
233,26,Wind,1.0
234,27,Wind,1.0
235,28,Wind,1.0
236,29,Wind,1.0
237,30,Wind,1.0
238,31,Wind,1.0
239,32,Wind,1.0
240,33,Wind,1.0
241,34,Wind,1.0
242,35,Wind,1.0
