,percent,provider,diameter,GCsize
290,93,Wind,2,1.0
291,94,Wind,2,1.0
292,95,Wind,2,1.0
293,96,Wind,2,1.0
294,97,Wind,4,0.918918918919
295,98,Wind,2,0.230769230769
296,0,Tre,2,1.0
297,1,Tre,2,1.0
298,2,Tre,2,1.0
299,3,Tre,2,1.0
300,4,Tre,2,1.0
301,5,Tre,2,1.0
302,6,Tre,2,1.0
303,7,Tre,2,1.0
304,8,Tre,2,1.0
305,9,Tre,2,1.0
306,10,Tre,2,1.0
307,11,Tre,2,1.0
308,12,Tre,2,1.0
309,13,Tre,2,1.0
310,14,Tre,2,1.0
311,15,Tre,2,1.0
312,16,Tre,2,1.0
313,17,Tre,2,1.0
314,18,Tre,2,1.0
315,19,Tre,2,1.0
316,20,Tre,2,1.0
317,21,Tre,2,1.0
318,22,Tre,2,1.0
319,23,Tre,2,1.0
320,24,Tre,2,1.0
321,25,Tre,2,1.0
322,26,Tre,2,1.0
323,27,Tre,2,1.0
324,28,Tre,2,1.0
325,29,Tre,2,1.0
326,30,Tre,2,1.0
327,31,Tre,2,1.0
328,32,Tre,2,1.0
329,33,Tre,2,1.0
330,34,Tre,2,1.0
331,35,Tre,2,1.0
332,36,Tre,2,1.0
333,37,Tre,2,1.0
334,38,Tre,2,1.0
335,39,Tre,4,0.962308598351
336,40,Tre,7,0.953293413174
337,41,Tre,7,0.952496954933
338,42,Tre,6,0.950433705081
339,43,Tre,6,0.950819672131
340,44,Tre,6,0.949935815148
341,45,Tre,7,0.949019607843
342,46,Tre,7,0.946737683089
343,47,Tre,7,0.945725915875
344,48,Tre,7,0.944674965422
345,49,Tre,12,0.929478138223
346,50,Tre,12,0.928057553957
347,51,Tre,12,0.928046989721
348,52,Tre,12,0.928035982009
349,53,Tre,11,0.912710566616
350,54,Tre,11,0.915492957746
351,55,Tre,11,0.9152
352,56,Tre,11,0.914893617021
353,57,Tre,12,0.912897822446
354,58,Tre,12,0.912521440823
355,59,Tre,12,0.908611599297
356,60,Tre,12,0.90990990991
357,61,Tre,12,0.913123844732
358,62,Tre,12,0.910815939279
359,63,Tre,12,0.910331384016
360,64,Tre,12,0.907815631263
361,65,Tre,12,0.909278350515
362,66,Tre,12,0.906581740977
363,67,Tre,12,0.903719912473
364,68,Tre,12,0.900677200903
365,69,Tre,12,0.892773892774
366,70,Tre,12,0.893975903614
367,71,Tre,7,0.807980049875
368,72,Tre,7,0.808785529716
369,73,Tre,7,0.756032171582
370,74,Tre,6,0.732590529248
371,75,Tre,6,0.721739130435
372,76,Tre,6,0.716012084592
373,77,Tre,5,0.703470031546
374,78,Tre,5,0.70297029703
375,79,Tre,5,0.705882352941
376,80,Tre,5,0.698181818182
377,81,Tre,5,0.704980842912
378,82,Tre,5,0.7004048583
379,83,Tre,5,0.703862660944
380,84,Tre,5,0.694063926941
381,85,Tre,5,0.682926829268
382,86,Tre,6,0.664921465969
383,87,Tre,6,0.666666666667
384,88,Tre,6,0.662576687117
385,89,Tre,6,0.651006711409
386,90,Tre,6,0.651851851852
387,91,Tre,5,0.603305785124
388,92,Tre,5,0.598130841121
389,93,Tre,5,0.602150537634
390,94,Tre,5,0.620253164557
391,95,Tre,5,0.584615384615
392,96,Tre,5,0.607843137255
393,97,Tre,4,0.567567567568
394,98,Tre,3,0.478260869565
395,99,Tre,2,0.666666666667
