,percent,Provider,diameter,average path length,clustering,average degree,soglia percolativa,GCsize
27,27,Tim,2,1.9630022273622891,0.8972612286698723,47.9491133384734,275.2785013667792,1.0
28,28,Tim,2,1.9634541145426114,0.8983367746820494,46.7421875,274.1611566103961,1.0
29,29,Tim,2,1.9632726145707464,0.8990908802132384,46.34996041171813,272.9083361803895,1.0
30,30,Tim,2,1.9628536618383647,0.8989827432252301,46.247191011235955,270.6366791614605,1.0
31,31,Tim,2,1.9625910740174342,0.8993281070729214,45.93816110659073,268.8536257040632,1.0
32,32,Tim,2,1.9622942062992426,0.8995626590516639,45.661716171617165,266.11647573271654,1.0
33,33,Tim,2,1.962045933993538,0.8994268482509236,45.31715481171548,263.8184806293164,1.0
34,34,Tim,2,1.9617138331893262,0.8994097424421039,45.06281833616299,261.2718333207746,1.0
35,35,Tim,2,1.9614289108675635,0.8997877610844873,44.74246339362618,259.06452854887766,1.0
36,36,Tim,2,1.9614986937821584,0.9002065797971214,44.00699300699301,256.7947719688543,1.0
37,37,Tim,2,1.962652541130747,0.897874924500807,42.05323868677906,239.21736928725156,1.0
38,38,Tim,2,1.9620614302309523,0.8973775459926788,42.07387387387387,236.17699456126076,1.0
39,39,Tim,2,1.961655758087597,0.8974356716164231,41.87191216834401,233.81689463794083,1.0
40,40,Tim,2,1.9613780582692142,0.8973238430294781,41.51858736059479,231.74329587679637,1.0
41,41,Tim,2,1.960796914019896,0.8973883323090012,41.476864966949954,229.5228121300428,1.0
42,42,Tim,2,1.961706317379015,0.8964746436838265,39.8637236084453,223.31007751937986,1.0
43,43,Tim,2,1.9612214176829268,0.8964944543702598,39.70926829268293,220.5442484398801,1.0
44,44,Tim,2,1.961470106082817,0.8975831430280855,38.79960317460318,219.41810278701098,1.0
45,45,Tim,2,1.9609393633611596,0.8973297491298339,38.67003027245207,216.28015239288138,1.0
46,46,Tim,2,1.9603736195555144,0.8974693229057941,38.5564681724846,213.69941950258294,1.0
47,47,Tim,2,1.9605417907250255,0.8984116049559355,37.72204806687565,212.26127423822717,1.0
48,48,Tim,2,1.9601409376203747,0.8982815411966452,37.42765957446809,209.0168836336763,1.0
49,49,Tim,2,1.9599227267492827,0.8985084639692231,36.95124593716143,207.16548407904764,1.0
50,50,Tim,2,1.9605063846913762,0.8990979582648682,35.741721854304636,204.19813476622815,1.0
51,51,Tim,2,1.9604779132338188,0.8999060116391545,35.09561304836895,202.1571153846154,1.0
52,52,Tim,2,1.960042764301288,0.9002214479300017,34.80275229357798,199.75820482404112,1.0
53,53,Tim,2,1.9592588027445663,0.8999522812045085,34.79298245614035,197.40775850477343,1.0
54,54,Tim,2,1.9588569245201781,0.9012520294538443,34.436754176610975,195.40896805045398,1.0
55,55,Tim,2,1.9582959508036006,0.9022886136093305,34.1973203410475,193.14361020088333,1.0
56,56,Tim,2,1.9576247033822172,0.9022835604099174,34.027363184079604,190.15637107975726,1.0
57,57,Tim,2,1.9583984015053784,0.9013742940003984,32.69885641677256,184.1662392166006,1.0
