radio,net,cell,lon,lat,range,samples,distance,grado
UMTS,10,10084451,12.477716,41.854385,1318,15,4125.79401309,398
UMTS,10,10084457,12.477263,41.856395,833,7,3920.01147834,287
UMTS,99,18695714,12.559888,41.893186,218,17,5028.53571708,171
UMTS,99,18716286,12.560467,41.891605,78,4,5062.78582524,140
UMTS,99,50594049,12.557853,41.892516,4901,33,4873.16124716,1720
UMTS,99,18719326,12.559933,41.893141,201,11,5031.53731137,166
UMTS,99,18716235,12.559786,41.892863,364,29,5018.69161814,196
UMTS,99,18716236,12.55581,41.894846,534,3,4743.12956335,209
UMTS,99,18716238,12.559314,41.894001,10,6,4992.95257105,134
UMTS,99,18695716,12.559925,41.893621,40,4,5034.75291785,140
UMTS,99,18695715,12.560143,41.892263,0,2,5041.61155302,130
UMTS,10,10084169,12.408101,41.890088,2203,122,6255.45304759,273
UMTS,10,10363646,12.433976,41.899066,95,5,4445.62169229,83
UMTS,10,10411813,12.439343,41.901308,447,16,4125.9217943,106
UMTS,10,10412500,12.45936,41.907861,1362,101,3141.40407157,519
GSM,10,28812,12.471287,41.903484,28,3,2152.93797919,122
UMTS,10,10413499,12.470776,41.907394,555,73,2496.46037296,220
GSM,10,30061,12.468889,41.905133,103,10,2408.42366177,134
UMTS,10,10412280,12.471631,41.910972,1019,152,2777.78373654,316
UMTS,10,10412462,12.477586,41.908439,338,68,2308.0755859,152
UMTS,10,10412039,12.478744,41.905928,2,6,2022.20333423,110
UMTS,10,10412042,12.47978,41.906079,245,28,1999.7635344,150
UMTS,10,10412917,12.482222,41.90629,31,5,1943.54048557,115
GSM,1,40865,12.482618,41.906051,78,15,1907.731373,127
UMTS,1,98904080,12.483084,41.906242,42,8,1914.72776591,115
GSM,10,29811,12.481417,41.90549,306,3,1886.69208365,168
UMTS,10,10412911,12.482443,41.907109,329,36,2021.84849962,152
UMTS,10,10412914,12.483148,41.906108,22,5,1899.11001984,113
UMTS,10,10414605,12.482616,41.905762,98,20,1878.06988176,129
GSM,10,28771,12.483789,41.903551,1485,3,1617.60478576,667
GSM,10,29637,12.48039,41.909816,35,5,2358.00052021,96
UMTS,10,10363625,12.476549,41.908586,1306,8,2359.784624,508
UMTS,10,10414277,12.482643,41.91194,204,42,2525.75309275,104
GSM,10,29711,12.482781,41.913288,29,5,2667.070849,86
GSM,10,46712,12.481784,41.912137,259,4,2565.52523248,106
GSM,10,30441,12.482824,41.912909,72,10,2625.59693537,88
UMTS,10,10411871,12.482391,41.912325,1,2,2572.14093704,87
UMTS,10,10411874,12.481394,41.911465,162,19,2503.70425962,100
UMTS,10,10412459,12.472832,41.910226,825,263,2659.44357407,264
UMTS,10,10362330,12.470328,41.91299,419,54,3018.62355641,147
UMTS,10,10362413,12.475582,41.909567,240,44,2490.18326212,140
UMTS,10,10362333,12.469125,41.916104,1,2,3360.11082304,76
GSM,10,21398,12.61703,41.930621,2531,24,10299.1399191,313
GSM,10,45329,12.640484,41.923959,6,2,11630.2341646,84
UMTS,10,10086543,12.606489,41.814489,567,25,11943.016954,95
UMTS,10,9970368,12.603173,41.812434,333,8,11934.1682859,82
UMTS,10,10086542,12.610684,41.819865,315,14,11760.3526671,90
UMTS,10,10086532,12.60459,41.820305,713,3,11393.1072405,130
UMTS,10,10412179,12.510906,41.925112,10,3,4123.87473706,65
UMTS,10,10398700,12.515514,41.928029,142,11,4549.22866942,78
UMTS,10,10398702,12.516078,41.928347,88,10,4597.90191842,77
UMTS,10,10398699,12.515997,41.928309,141,8,4591.69120148,79
UMTS,10,10398704,12.513284,41.928585,76,9,4547.18153778,70
UMTS,10,10398703,12.515227,41.928964,112,4,4637.79332035,76
UMTS,99,21338974,12.512319,41.889962,8,3,1484.61753981,128
UMTS,99,21300556,12.513217,41.891476,511,18,1557.90168162,225
UMTS,99,21300553,12.512641,41.891042,584,11,1511.45525202,254
UMTS,99,21341071,12.508501,41.887472,290,38,1237.86329839,191
UMTS,99,18678071,12.5156,41.889501,417,3,1729.70722609,193
UMTS,99,21341077,12.508702,41.888326,309,29,1233.02620564,199
UMTS,99,21299778,12.508195,41.886608,284,18,1243.0591159,189
UMTS,99,18678077,12.513737,41.888648,306,8,1598.74457227,177
UMTS,99,21300559,12.513008,41.891417,625,14,1541.84417962,259
UMTS,99,21299772,12.505864,41.887194,682,19,1058.22830902,281
UMTS,99,21341074,12.508754,41.88669,315,38,1279.68257523,193
UMTS,99,21299775,12.504461,41.886903,481,38,971.47549757,231
UMTS,99,18717434,12.509456,41.885988,134,9,1354.26877662,151
UMTS,99,18678076,12.508767,41.886974,36,7,1271.40661161,143
UMTS,99,21299776,12.504354,41.8875,171,28,941.078003695,169
UMTS,99,21299774,12.503939,41.8881,227,10,892.3683223,181
UMTS,99,21341075,12.503394,41.889144,28,4,829.533476608,144
UMTS,10,10086541,12.601221,41.855915,4102,52,8937.15422423,972
UMTS,10,10034030,12.613812,41.903387,4048,134,9142.02136191,627
UMTS,99,21306843,12.506178,41.902387,57,6,1703.92399208,127
UMTS,1,98374131,12.615553,41.910582,267,4,9430.34772905,143
UMTS,1,98372394,12.615514,41.907139,71,2,9342.42295184,127
UMTS,99,18718575,12.515508,41.876989,643,15,2261.05302799,230
UMTS,88,25324723,12.471746,41.806185,13724,8,9465.7339042,4710
UMTS,88,25336940,12.45215,41.796724,269,8,10813.1152606,118
UMTS,88,25336899,12.454797,41.804168,140,3,9963.2232588,123
UMTS,88,25336907,12.449798,41.80618,483,3,9860.96804014,171
UMTS,88,25337603,12.457852,41.809356,414,7,9346.02098399,154
UMTS,88,25794847,12.463123,41.818612,568,16,8249.34984231,175
UMTS,88,25795048,12.459835,41.81941,960,13,8231.9037227,233
UMTS,88,25794846,12.468928,41.82684,766,15,7255.28494722,215
UMTS,88,25795641,12.471786,41.835204,364,7,6301.31123535,176
UMTS,88,25795055,12.475002,41.841488,255,4,5565.74039689,154
UMTS,88,25795639,12.477615,41.845116,80,2,5129.20411367,147
UMTS,88,25796248,12.480368,41.847017,74,3,4881.54137164,151
UMTS,88,25757789,12.480831,41.847361,10,2,4837.74006149,147
UMTS,88,25796246,12.489433,41.853468,255,5,4088.22471532,163
UMTS,88,25796249,12.494678,41.858431,334,11,3534.84114993,183
UMTS,88,25796262,12.495323,41.85825,124,5,3557.61749516,169
UMTS,88,25766434,12.495484,41.8586,66,2,3519.53996735,162
UMTS,88,25764634,12.495491,41.858613,66,2,3518.13184987,162
UMTS,88,25764560,12.495047,41.859169,135,3,3454.34932025,167
UMTS,88,25766360,12.495482,41.858817,82,2,3495.44777708,163
UMTS,88,25757790,12.497435,41.861132,449,10,3252.27420861,200
UMTS,88,25766358,12.493432,41.86377,8765,13,2937.84431654,4864
UMTS,88,25704692,12.496341,41.875537,50,2,1654.91601616,145
UMTS,88,25729437,12.495412,41.87834,151,4,1335.87770895,161
GSM,88,8566,12.493662,41.881079,770,38,1016.30924186,246
UMTS,88,25692198,12.493616,41.881404,323,14,979.999889283,173
UMTS,88,25692197,12.488064,41.886498,564,23,517.200852711,236
UMTS,88,25692200,12.489255,41.884815,57,4,638.230034917,150
UMTS,88,25692199,12.483878,41.886415,286,7,754.178031612,178
UMTS,88,25698679,12.482578,41.888312,169,6,753.302894653,165
UMTS,88,25698677,12.482209,41.887419,17,2,811.719350332,137
UMTS,88,25701471,12.466954,41.882394,1451,3,2073.64720757,420
UMTS,88,25271514,12.48104,41.88812,33,2,869.060077736,140
UMTS,88,25730781,12.464182,41.881443,1583,10,2304.86285922,446
UMTS,88,25271514,12.480187,41.889476,75,3,905.209826793,153
UMTS,88,25270652,12.475027,41.891919,569,19,1299.7165853,273
UMTS,88,25233385,12.471975,41.892537,199,6,1534.49524016,160
UMTS,88,25233388,12.469795,41.891483,202,5,1680.01739475,159
UMTS,88,25271345,12.469488,41.893135,312,6,1728.20700951,177
UMTS,88,25271341,12.470056,41.888713,835,13,1662.21005307,283
UMTS,88,25271512,12.466697,41.896323,9,2,2023.01325315,121
GSM,88,26311,12.469958,41.897576,450,18,1854.50283722,258
UMTS,88,25243271,12.465963,41.897045,109,4,2102.26025016,134
UMTS,88,25269106,12.464746,41.898678,34,2,2256.65280286,140
UMTS,88,25239878,12.463762,41.9015,237,11,2467.77438488,225
UMTS,88,25233398,12.463993,41.901719,118,7,2465.63976616,190
UMTS,88,25242701,12.463807,41.900742,987,6,2422.87899053,489
UMTS,88,25240902,12.463162,41.904481,100,6,2688.24927837,160
UMTS,88,25239881,12.460589,41.906189,261,10,2955.04127277,170
UMTS,88,25233401,12.46476,41.905191,1138,9,2642.74460967,510
UMTS,88,25233400,12.460104,41.9067,209,12,3018.14923172,152
UMTS,88,25233397,12.46133,41.906716,27,4,2947.55628854,112
UMTS,88,25233402,12.453033,41.908094,1092,32,3534.67149072,334
UMTS,88,25239882,12.450101,41.909997,796,4,3834.28765052,164
UMTS,88,25239880,12.459514,41.907613,117,14,3115.23946291,116
UMTS,88,25233410,12.452067,41.906759,50,3,3513.94583641,84
UMTS,88,25271472,12.450284,41.906399,55,3,3607.12214201,81
