radio,net,cell,lon,lat,range,samples,distance
UMTS,10,10412917,12.482222,41.90629,31,5,1943
GSM,10,29811,12.481417,41.90549,306,3,1886
UMTS,10,10412911,12.482443,41.907109,329,36,2021
UMTS,10,10412914,12.483148,41.906108,22,5,1899
UMTS,10,10414605,12.482616,41.905762,98,20,1878
GSM,10,28771,12.483789,41.903551,1485,3,1617
GSM,10,29637,12.48039,41.909816,35,5,2358
UMTS,10,10363625,12.476549,41.908586,1306,8,2359
UMTS,10,10414277,12.482643,41.91194,204,42,2525
GSM,10,29711,12.482781,41.913288,29,5,2667
GSM,10,46712,12.481784,41.912137,259,4,2565
GSM,10,30441,12.482824,41.912909,72,10,2625
UMTS,10,10411871,12.482391,41.912325,1,2,2572
UMTS,10,10411874,12.481394,41.911465,162,19,2503
UMTS,10,10412459,12.472832,41.910226,825,263,2659
UMTS,10,10362330,12.470328,41.91299,419,54,3018
UMTS,10,10362413,12.475582,41.909567,240,44,2490
UMTS,10,10362333,12.469125,41.916104,1,2,3360
GSM,10,21398,12.61703,41.930621,2531,24,10299
GSM,10,45329,12.640484,41.923959,6,2,11630
UMTS,10,10086543,12.606489,41.814489,567,25,11943
UMTS,10,9970368,12.603173,41.812434,333,8,11934
UMTS,10,10086542,12.610684,41.819865,315,14,11760
UMTS,10,10086532,12.60459,41.820305,713,3,11393
UMTS,10,10412179,12.510906,41.925112,10,3,4123
UMTS,10,10398700,12.515514,41.928029,142,11,4549
UMTS,10,10398702,12.516078,41.928347,88,10,4597
UMTS,10,10398699,12.515997,41.928309,141,8,4591
UMTS,10,10398704,12.513284,41.928585,76,9,4547
UMTS,10,10398703,12.515227,41.928964,112,4,4637
UMTS,10,10086541,12.601221,41.855915,4102,52,8937
UMTS,10,10034030,12.613812,41.903387,4048,134,9142
UMTS,10,582112,12.464753,41.832628,38,4,6719
UMTS,10,25242048,12.513608,41.886008,8,2,1646
UMTS,10,582380,12.484494,41.947808,452,293,6436
