radio,net,cell,lon,lat,range,samples,distance
GSM,1,39774,12.481413,41.889186,4,4,818
GSM,1,38486,12.478688,41.887212,713,12,1065
GSM,1,13643,12.525077,41.985588,227,19,10888
UMTS,1,98835090,12.522909,41.984762,10,2,10763
UMTS,1,98829525,12.506357,41.967003,140,4,8608
UMTS,1,98830243,12.508743,41.936301,4,3,5273
GSM,1,52153,12.509021,41.935552,722,25,5197
GSM,1,39079,12.508332,41.930031,134,22,4589
UMTS,1,98841048,12.50785,41.928617,464,11,4428
UMTS,1,98829822,12.506457,41.927544,91,12,4287
UMTS,1,98829824,12.504852,41.925821,5,2,4072
UMTS,1,98841050,12.502969,41.923557,23,2,3796
UMTS,1,98834846,12.500413,41.921232,290,2,3506
UMTS,1,98831248,12.497253,41.918469,12,2,3168
UMTS,1,98831250,12.496857,41.916377,124,14,2933
UMTS,1,98373548,12.497026,41.915056,176,30,2789
UMTS,1,98502358,12.482606,41.905131,29,8,1813
UMTS,1,98510864,12.483016,41.904933,35,10,1781
UMTS,1,98513050,12.483492,41.903026,61,9,1573
UMTS,1,98510852,12.48426,41.902408,11,3,1487
UMTS,1,98381939,12.488325,41.903557,471,3,1518
UMTS,1,98502657,12.484038,41.902201,3,2,1472
UMTS,1,98502658,12.483891,41.897625,376,2,1039
UMTS,1,98502659,12.480203,41.900262,82,6,1438
UMTS,1,98513051,12.479671,41.900149,89,3,1454
UMTS,1,98523308,12.476821,41.899769,166,2,1570
UMTS,1,98507542,12.473044,41.899045,43,8,1739
UMTS,1,98523309,12.467452,41.902138,562,123,2277
UMTS,1,98513047,12.468183,41.902654,63,9,2268
UMTS,1,98513049,12.464864,41.900837,380,43,2359
UMTS,1,98548278,12.459316,41.902424,437,68,2805
UMTS,1,98502667,12.464548,41.902445,6,5,2474
UMTS,1,98507475,12.465827,41.900074,500,47,2255
UMTS,1,98502379,12.458028,41.902531,323,16,2894
UMTS,1,98507231,12.45302,41.899018,372,44,3081
UMTS,1,98502004,12.450318,41.896617,506,9,3201
UMTS,1,98454211,12.486667,41.89352,54,7,561
GSM,1,1911,12.48623,41.893498,222,12,584
UMTS,1,98502668,12.481688,41.895174,144,24,966
UMTS,1,98502672,12.48314,41.894966,205,141,866
UMTS,1,98513363,12.484492,41.894276,6,5,739
UMTS,1,98373353,12.484108,41.894065,52,13,748
UMTS,1,98376392,12.487444,41.894977,350,24,645
UMTS,1,98369622,12.490241,41.894658,564,11,522
UMTS,1,98376393,12.490454,41.898779,12,3,967
UMTS,1,98376188,12.492219,41.90021,216,38,1116
UMTS,1,98373442,12.488906,41.903374,177,36,1490
UMTS,1,98373440,12.48902,41.906043,78,10,1782
UMTS,1,98379679,12.489855,41.907021,51,10,1882
UMTS,1,98379680,12.488518,41.909258,18,4,2141
UMTS,1,98370985,12.491189,41.910244,29,3,2234
UMTS,1,98369962,12.503417,41.910834,30,4,2441
UMTS,1,98373379,12.505908,41.908692,9,2,2293
UMTS,1,98371131,12.513266,41.910431,10,3,2737
UMTS,1,98370911,12.515483,41.910611,119,3,2850
UMTS,1,98376067,12.519439,41.909727,132,9,2963
UMTS,1,98376111,12.522423,41.908881,547,8,3053
UMTS,1,98370926,12.523775,41.908556,69,4,3104
UMTS,1,98370924,12.526633,41.908064,124,18,3232
UMTS,1,98370910,12.529078,41.907871,66,7,3365
UMTS,1,98376068,12.529003,41.907874,928,14,3360
UMTS,1,98370060,12.53208,41.904441,380,23,3351
UMTS,1,98370061,12.531518,41.900971,89,4,3148
UMTS,1,98379682,12.544522,41.89982,403,9,4022
UMTS,1,98371470,12.551314,41.902517,774,12,4591
UMTS,1,98379652,12.555134,41.902267,49,4,4854
