net,cell,lon,lat,range,samples,distanze
88,8971,12.608222,41.881155,4782,3,9670.83712063
88,8981,12.577372,41.818634,881,2,10630.3869155
88,19080,12.581891,41.82428,1604,2,10434.0084786
88,9328,12.616583,41.901737,794,2,10390.8152542
88,55648,12.611476,41.908407,4968,6,10092.1059804
88,29747,12.610383,41.90451,4526,5,9924.98471248
88,29746,12.613015,41.911901,224,2,10300.9347664
88,29745,12.614165,41.918499,959,6,10587.4173283
88,32030,12.614198,41.917836,887,5,10568.437833
88,17509,12.583634,41.896551,3848,3,7610.18315637
88,25324723,12.471746,41.806185,13724,8,9483.92393895
88,25336899,12.454797,41.804168,140,3,10048.3250427
88,25336907,12.449798,41.80618,483,3,9975.44493793
88,25337603,12.457852,41.809356,414,7,9421.98966256
88,25794847,12.463123,41.818612,568,16,8310.13292016
88,25795048,12.459835,41.81941,960,13,8309.9989831
88,25794846,12.468928,41.82684,766,15,7297.90468777
88,25795641,12.471786,41.835204,364,7,6339.26178634
88,25795055,12.475002,41.841488,255,4,5595.60081656
88,25795639,12.477615,41.845116,80,2,5151.48884179
88,25796248,12.480368,41.847017,74,3,4895.18014549
88,25757789,12.480831,41.847361,10,2,4850.05939853
88,25796246,12.489433,41.853468,255,5,4083.94598806
88,25796249,12.494678,41.858431,334,11,3530.99005377
88,25796262,12.495323,41.85825,124,5,3554.4032304
88,25766434,12.495484,41.8586,66,2,3516.59408528
88,25764634,12.495491,41.858613,66,2,3515.19748965
88,25764560,12.495047,41.859169,135,3,3451.01358947
88,25766360,12.495482,41.858817,82,2,3492.54662172
88,25757790,12.497435,41.861132,449,10,3253.31670653
88,25766358,12.493432,41.86377,8765,13,2934.02864323
88,25704692,12.496341,41.875537,50,2,1659.35912491
88,25729437,12.495412,41.87834,151,4,1338.95081787
88,8566,12.493662,41.881079,770,38,1016.10338331
88,25692198,12.493616,41.881404,323,14,979.804181369
88,25692197,12.488064,41.886498,564,23,540.400186628
88,25692200,12.489255,41.884815,57,4,647.567221279
88,25692199,12.483878,41.886415,286,7,816.342440261
88,25698679,12.482578,41.888312,169,6,835.418789075
88,25698677,12.482209,41.887419,17,2,894.031771901
88,25701471,12.466954,41.882394,1451,3,2276.57488053
88,25271514,12.48104,41.88812,33,2,964.434809725
88,25730781,12.464182,41.881443,1583,10,2529.55817063
88,25271514,12.480187,41.889476,75,3,1010.84223225
88,25270652,12.475027,41.891919,569,19,1449.12760627
88,25233385,12.471975,41.892537,199,6,1709.65929545
88,25233388,12.469795,41.891483,202,5,1875.96403226
88,25271345,12.469488,41.893135,312,6,1924.10203794
88,25271341,12.470056,41.888713,835,13,1855.79046314
88,25271512,12.466697,41.896323,9,2,2234.32198662
88,26311,12.469958,41.897576,450,18,2030.62428208
88,25243271,12.465963,41.897045,109,4,2317.54407252
88,25269106,12.464746,41.898678,34,2,2476.46439506
88,25239878,12.463762,41.9015,237,11,2683.95450821
88,25233398,12.463993,41.901719,118,7,2678.59330276
88,25242701,12.463807,41.900742,987,6,2642.20144716
88,25240902,12.463162,41.904481,100,6,2895.62904357
88,25239881,12.460589,41.906189,261,10,3178.47454796
88,25233401,12.46476,41.905191,1138,9,2831.4475443
88,25233400,12.460104,41.9067,209,12,3243.67703622
88,25233397,12.46133,41.906716,27,4,3161.35655683
88,25233402,12.453033,41.908094,1092,32,3820.5086288
88,25239882,12.450101,41.909997,796,4,4138.60782543
88,25239880,12.459514,41.907613,117,14,3341.88326438
88,25233410,12.452067,41.906759,50,3,3815.41995461
88,25271472,12.450284,41.906399,55,3,3927.13302651
88,25730238,12.445184,41.902783,925,7,4155.6322213
88,25241870,12.446546,41.902465,298,7,4037.3271335
88,25233405,12.443532,41.897556,743,8,4131.937071
88,25233404,12.443687,41.899425,111,4,4165.5697152
88,25698818,12.443072,41.899589,170,9,4219.52107581
88,25711233,12.442125,41.901252,103,4,4344.31590962
88,25711232,12.443536,41.904138,328,9,4336.12866883
88,25240071,12.440964,41.902864,402,4,4489.70548079
88,25240069,12.44785,41.90793,230,17,4184.99545741
88,25241869,12.450064,41.909461,2709,13,4109.87526019
88,25730766,12.442234,41.917882,693,143,5172.14961398
88,25700630,12.442191,41.918209,473,147,5196.69152763
88,25700631,12.442091,41.917789,696,43,5175.56434079
88,25698831,12.442216,41.918332,113,49,5203.22842673
88,25698830,12.441973,41.918886,507,19,5256.44625262
88,8719,12.442093,41.917413,633,8,5150.79855587
88,25730765,12.441981,41.918227,52,9,5211.84646133
88,9195,12.40685,41.823883,815,25,10227.0867721
88,25243380,12.486013,41.893988,135,59,674.150946917
88,25243379,12.488189,41.8935,118,27,504.696150365
88,25438586,12.58611,41.953142,451,2,10461.0137278
88,25440016,12.562711,41.96312,641,2,9986.35455868
88,25307391,12.374992,41.904897,1971,3,9873.588083
88,25242587,12.501008,41.899037,45,40,1219.76508081
88,17161,12.461863,41.899184,18300,157,2719.34043686
88,25438663,12.509517,41.880727,92,4,1770.72253035
