index,radio,net,cell,lon,lat,range,samples,distance
812,UMTS,99,6922543,12.453722,41.902493,2,2,3178
813,UMTS,99,1026996,12.455033,41.902146,5,2,3073
814,UMTS,99,1022931,12.464193,41.902535,9,4,2501
815,UMTS,99,6922162,12.480424,41.915476,2202,9,2950
816,UMTS,99,2294485,12.456029,41.854157,4,2,4828
817,UMTS,99,1023971,12.483754,41.898915,163,22,1162
818,UMTS,99,1022216,12.488278,41.904214,8,2,1590
819,UMTS,99,6923314,12.484369,41.889708,2721,2,593
820,UMTS,99,2332972,12.48535,41.871435,341,34,2147
821,UMTS,99,2335822,12.485575,41.870617,307,24,2232
822,UMTS,99,2334273,12.484524,41.869862,81,24,2332
823,UMTS,99,2333132,12.48475,41.869026,31,9,2418
824,UMTS,99,989292,12.503714,41.911319,185,26,2499
825,UMTS,99,990762,12.510492,41.915579,616,19,3131
826,UMTS,99,1024822,12.520785,41.924183,97,11,4333
827,UMTS,99,1024394,12.534068,41.934895,49,7,5861
828,UMTS,99,1021536,12.543224,41.937416,341,16,6473
829,UMTS,99,1021932,12.508611,41.899665,76,3,1605
830,UMTS,99,989314,12.51614,41.89982,263,4,2068
831,UMTS,99,989311,12.517124,41.900358,393,8,2162
832,UMTS,99,1679011,12.556759,41.913188,162,4,5427
833,UMTS,99,1646203,12.545783,41.928445,1964,19,5821
834,UMTS,99,1679401,12.546659,41.935736,2511,6,6478
835,UMTS,99,6264285,12.615561,41.912208,540,10,9476
836,UMTS,99,984824,12.474171,41.915573,2,2,3130
837,UMTS,99,6919532,12.491959,41.92082,256,15,3408
838,UMTS,99,6919531,12.493035,41.922049,81,6,3545
839,UMTS,99,6919535,12.493562,41.921841,6,3,3523
840,UMTS,99,6922531,12.449551,41.944551,150,12,6832
841,UMTS,99,6921781,12.4421,41.939226,908,77,6610
842,UMTS,99,6921783,12.439935,41.937902,4,2,6583
843,UMTS,99,6922532,12.4364,41.936236,116,18,6596
