,net,cell,lon,lat,range,samples,distanze,grado
1315,10,10413571,12.500571,41.893553,61,4,780.118237937,11
1316,10,10397250,12.487782,41.897138,2,2,860.808690782,11
1317,10,12101123,12.473999,41.839279,1040,140,5854.14984993,69
1318,10,12509143,12.497847,41.862197,7,2,3140.87470158,33
1319,10,10086114,12.615389,41.898306,441,70,10252.188191,31
1320,10,10085294,12.608367,41.9245,164,25,10355.0876965,33
1321,10,12090748,12.496233,41.829964,179,46,6695.2914727,27
1322,10,10084340,12.548044,41.966141,284,40,9620.41737215,27
1323,10,10085293,12.615187,41.911324,889,65,10461.7009347,35
1324,10,10086563,12.615095,41.895969,832,54,10208.4192887,37
1325,10,10086204,12.612217,41.884587,437,29,9969.46530753,36
1326,10,12066590,12.536256,41.801813,214,32,10470.2299771,21
1327,10,10071750,12.544591,41.96948,248,36,9817.47418228,22
1328,10,12120041,12.506517,41.827001,1035,149,7114.73404416,35
1329,10,12115712,12.526229,41.812658,1676,87,9058.13482959,43
1330,10,12067540,12.504977,41.794592,328,43,10668.0327526,28
1331,10,12091537,12.473732,41.803276,16,3,9774.49499292,36
1332,10,12117878,12.590413,41.837739,38,7,10011.6621058,49
1333,10,12118501,12.591579,41.839801,194,30,9960.0252372,49
1334,10,12099519,12.498895,41.795294,244,41,10552.3244877,36
1335,10,12097183,12.594782,41.846038,661,65,9817.16315747,58
1336,10,12116972,12.59896,41.858119,706,54,9540.84419204,54
1337,10,10086206,12.613071,41.885797,35,4,10032.7052561,29
1338,10,10065103,12.584852,41.911005,723,3,8018.45458416,30
1339,10,12115707,12.498947,41.79545,7,2,10535.2451922,29
1340,10,12117017,12.497014,41.79567,1091,106,10503.6739528,47
1341,10,12100276,12.483896,41.806344,138,24,9337.22927075,37
1342,10,12118509,12.446118,41.808785,11,3,9820.71920509,21
1343,10,12118512,12.446484,41.808287,47,7,9859.88610708,21
1344,10,12115875,12.483102,41.804886,37,7,9503.81107996,34
1345,10,10412050,12.520148,41.884455,112,3,2394.48354555,13
1346,10,12116165,12.510896,41.880621,5,2,1870.81030748,12
1347,10,12118700,12.591286,41.841054,2514,253,9862.17811218,140
1348,10,12118698,12.605226,41.850387,26,3,10361.9562355,30
1349,10,12116309,12.453525,41.810292,174,29,9439.54847566,30
1350,10,12118393,12.453332,41.810171,87,14,9457.65907825,29
1351,10,10387836,12.478825,41.889466,752,110,1123.65793165,57
1352,10,10395503,12.473019,41.890061,20,4,1602.81188993,15
1353,10,12117296,12.50199,41.870642,178,23,2312.74424943,29
1354,10,10412656,12.475953,41.891794,10,3,1371.11604125,15
1355,10,12116170,12.49841,41.878515,49,5,1389.69778455,21
1356,10,12100929,12.502533,41.874269,251,38,1958.95332328,30
1357,10,10412655,12.478825,41.894868,225,39,1236.23435535,20
1358,10,10372027,12.480927,41.891382,345,50,955.923040396,30
1359,10,10387182,12.48178,41.889235,189,27,881.842361347,25
1360,10,10408645,12.485372,41.886781,468,105,689.581940145,36
1361,10,12460913,12.489261,41.877859,174,35,1391.26256561,22
1362,10,10401942,12.487654,41.895994,14,3,754.105102269,10
1363,10,10412885,12.500755,41.894335,94,13,838.127286742,11
1364,10,10412879,12.500088,41.895263,12,3,856.761117799,8
1365,10,17737503,12.464405,41.870404,2,5,3192.89754586,17
1366,10,12064363,12.454344,41.812607,890,166,9174.66247152,58
