,net,cell,lon,lat,range,samples,distanze
97,10,10362333,12.469125,41.916104,1,2,3464.5696717963815
98,10,10412179,12.510906,41.925112,10,3,4175.5555867487965
99,10,10398700,12.515514,41.928028999999995,142,11,4623.786120940406
100,10,10398702,12.516078,41.928346999999995,88,10,4675.452792263447
101,10,10398699,12.515997,41.928309000000006,141,8,4668.795350333327
102,10,10398704,12.513284,41.928585,76,9,4607.059233650208
103,10,10398703,12.515227000000001,41.928964,112,4,4708.7614789372965
104,10,10086541,12.601221,41.855915,4102,52,9807.731066198894
105,10,10034030,12.613812,41.903387,4048,134,10187.322092204382
106,10,582112,12.464753,41.832628,38,4,6789.346913232544
107,10,25242048,12.513608,41.886008000000004,8,2,1825.4904192876043
108,10,582380,12.484494,41.947808,452,293,6434.54545165295
109,10,582381,12.481517,41.951017,188,58,6817.3268665141495
110,10,582379,12.484544,41.950367,130,20,6716.984930466712
111,10,647027,12.477165,41.937796999999996,99,13,5437.254553932885
112,10,583360,12.468857,41.937028000000005,514,51,5556.703317472491
113,10,583359,12.467568,41.939064,701,55,5806.007727962636
114,10,581481,12.473548,41.937340999999996,30,8,5465.8615698110225
115,10,584340,12.464507000000001,41.944992,37,9,6511.66615593261
116,10,581430,12.465677000000001,41.944866999999995,55,19,6464.848975245891
117,10,568461,12.467888,41.942665999999996,36,15,6173.037997021189
118,10,582331,12.468055999999999,41.942718,3,12,6173.933167978109
119,10,583802,12.467746,41.942465000000006,4,3,6155.849765404906
120,10,64042,12.46786,41.942768,3,2,6184.501358786856
121,10,1631,12.467839,41.942777,8,2,6186.017575442895
122,10,647028,12.48347,41.944784999999996,992,57,6110.2250805019385
123,10,647247,12.541802,41.862864,587,166,5105.37727150187
124,10,647246,12.550923,41.863437,310,34,5698.637939531356
125,10,647245,12.546582,41.864897,447,76,5306.765812791176
126,10,648525,12.545321000000001,41.864767,900,24,5226.018350180456
127,10,649986,12.534272,41.860842,692,124,4768.121758082683
128,10,29833,12.541195,41.860890000000005,1001,28,5199.2540675954315
129,10,29612,12.529860000000001,41.855084000000005,537,42,4989.566848377064
130,10,29392,12.528875,41.855833000000004,678,41,4873.531357107548
131,10,649987,12.519399,41.856446999999996,665,168,4368.242945992314
132,10,582020,12.511828,41.856369,951,101,4088.641172790444
133,10,581590,12.507886,41.858121000000004,840,25,3786.991771017167
134,10,582019,12.501803,41.859539,289,54,3492.2162179246784
135,10,581594,12.489192,41.853558,1043,71,4075.19747076255
136,10,28611,12.481181,41.84786,23,7,4790.031374180225
