,net,cell,lon,lat,range,samples,distanze
89,99,6265713,12.556046,41.958524,100,2,9250.328978742044
90,99,2334363,12.496492,41.869959,605,4,2271.5993793526477
91,99,984716,12.492905,41.904678999999994,47,3,1611.904103457123
92,99,1679214,12.52272,41.874511,326,77,3064.083970807256
93,99,1679211,12.522242,41.874983,702,1391,3001.7221623119144
94,99,6923253,12.457979,41.909083,136,124,3540.788870692633
95,99,6923255,12.464139999999999,41.908916,103,4,3131.5061327361327
96,99,6920571,12.467595,41.908639,244,378,2901.7289619964054
97,99,6920574,12.46718,41.908525,221,14,2917.3303916622253
98,99,6921732,12.468706,41.909298,464,480,2890.6114887476206
99,99,6921735,12.469035,41.909626,394,19,2899.21111709199
100,99,6921671,12.464177000000001,41.907706,860,574,3041.4741087193574
101,99,6920573,12.467347,41.906157,878,116,2729.513205894039
102,99,6920572,12.470034,41.905834000000006,358,158,2539.5508121324774
103,99,1026991,12.476311,41.907489,462,106,2338.022290076134
104,99,984826,12.472088000000001,41.910828,300,12,2843.3859260866748
105,99,984822,12.477414999999999,41.910396,17618,1118,2564.6383642852775
106,99,984823,12.472795,41.911190999999995,421,341,2842.147488778628
107,99,984825,12.477717,41.908478,1455,26,2367.351591069607
108,99,1022212,12.486786,41.903064,385,213,1503.9435926733017
109,99,984713,12.492674000000001,41.903434999999995,1400,19,1473.3022969121025
110,99,984715,12.496158,41.902325,134,7,1386.5975218330339
111,99,1021916,12.496607000000001,41.902019,270,17,1362.759714602751
112,99,1021913,12.497612,41.901971,507,407,1381.7586810660873
113,99,1021891,12.497519,41.901358,526,26,1314.8176363453572
114,99,1023383,12.500276,41.898483,639,61,1134.3095515835582
115,99,1023382,12.504134,41.896978000000004,614,81,1237.2322645573101
116,99,1023386,12.500963,41.898662,74,2,1184.1390308020218
117,99,1023381,12.501878,41.90045,606,121,1389.485076616665
118,99,1021904,12.501327999999999,41.900302,110,6,1350.2490296726244
119,99,1680291,12.519985,41.873488,3508,2388,2950.1242281202226
120,99,1023791,12.478183999999999,41.905204,301,231,2040.9476243346564
121,99,1023792,12.479275,41.903971000000006,346,273,1876.8562359500415
122,99,1023361,12.48108,41.906119,594,152,2002.1561739847155
123,99,1023362,12.478859,41.906993,298,93,2177.1598547241815
