,level_0,index,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,distanze
6762,195084,8207224,UMTS,222,10,35015,12510152,,12.391089,41.906599,22,4,1,1445442451,1445442676,,8597.128391861512
6763,195104,8207958,UMTS,222,99,50063,18683561,,12.579242,41.910215,33,4,1,1445453593,1445454113,,7547.631581119863
6764,195152,8209459,UMTS,222,99,50063,18024003,,12.486488,41.835309,2078,6,1,1445496290,1445496587,,6113.059178479466
6765,195218,8209953,UMTS,222,99,50063,18027519,,12.417849,41.881845,398,4,1,1445508152,1445508389,,6250.712291076298
6766,195224,8210166,UMTS,222,99,50063,27239564,,12.492061999999999,41.830038,77,5,1,1445513893,1445513971,,6679.265944924261
6767,195239,8210330,UMTS,222,99,50063,21346672,,12.482168,41.901709999999994,227,9,1,1445517874,1445518262,,1534.0648913546465
6768,195248,8210617,UMTS,222,10,35008,12100249,,12.582556,41.86142,3,2,1,1445519020,1445519262,,8142.18898117672
6769,195249,8210622,UMTS,222,10,35008,12100246,,12.582567999999998,41.861426,1,3,1,1445519070,1445519194,,8142.84364470842
6770,195265,8211237,UMTS,222,99,50063,27239567,,12.472294,41.842231,2393,18,1,1445528795,1445529633,,5578.755411148849
6771,195297,8211852,UMTS,222,99,50063,18070052,,12.45572,41.856155,61,8,1,1445533876,1445534256,,4849.071388861723
6772,195321,8212030,UMTS,222,88,30472,80942344,,12.567035,41.931487,37,16,1,1445538338,1446412214,,7711.766392565135
6773,195334,8213789,UMTS,222,99,50001,21995118,,12.383473,41.943706,5,2,1,1445583927,1445583977,,10812.409434160154
6774,195350,8215658,UMTS,222,10,32018,17791285,,12.454935,41.855978,787,7,1,1445617318,1447434584,,4905.3883361030585
6775,195397,8217912,UMTS,222,10,32018,17685024,,12.453418,41.861058,2,3,1,1445673269,1445673393,,4570.788976422571
6776,195398,8218082,UMTS,222,99,50063,19375102,,12.46033,41.895601,4,2,1,1445677494,1445677530,,2723.322210250584
6777,195399,8218091,UMTS,222,99,50063,21341055,,12.460359,41.895645,9,2,1,1445677592,1445677590,,2722.06142333637
6778,195466,8219995,LTE,222,10,32028,17213491,257.0,12.60705,41.909214,11,2,1,1445716412,1446173585,-136.0,9751.569406863591
6779,195501,8222427,UMTS,222,1,3128,77101827,,12.566052,41.879549,4,2,1,1445788620,1445788679,,6231.583623882
6780,195575,8225130,UMTS,222,10,32018,17685535,,12.455522,41.856555,778,48,1,1445844097,1447433354,,4824.92033576602
6781,195579,8225143,UMTS,222,10,32018,17791264,,12.452012,41.85273,610,11,1,1445844525,1447432904,,5338.481899479581
6782,195581,8225167,UMTS,222,10,32018,17791284,,12.463245,41.842712,2914,12,1,1445845101,1445846305,,5798.30909472578
6783,195587,8225214,UMTS,222,10,32017,17675316,,12.479443,41.836488,3473,37,1,1445846365,1447341506,,6058.0802761857885
6784,195614,8226156,UMTS,222,88,31129,26026376,,12.464369999999999,41.87583,8,4,1,1445860741,1445860981,,2814.9932438471865
6785,195615,8226190,UMTS,222,88,30129,26225726,,12.560514,41.852644,56,2,1,1445860921,1445861024,,7029.59211400262
6786,195621,8226765,UMTS,222,88,30129,26231988,,12.563248,41.857203999999996,48,2,1,1445872287,1445872304,,6933.094196579533
6787,195622,8226769,UMTS,222,88,31129,26035073,,12.480367999999999,41.821567,540,6,1,1445872317,1445872614,,7684.578598850872
6788,195623,8226784,UMTS,222,88,30129,26223898,,12.56649,41.861290999999994,84,3,1,1445872417,1445872464,,6941.766336026939
6789,195665,8229125,UMTS,222,88,31111,25954338,,12.508685,41.884311,214,7,1,1445928117,1445928877,,1505.4156727734844
6790,195666,8229126,UMTS,222,88,31129,26027326,,12.449489999999999,41.879099,529,6,1,1445928120,1445928324,,3762.540268244515
6791,195667,8229145,UMTS,222,88,31111,25960818,,12.50848,41.883948,14,2,1,1445928357,1445928959,,1508.1499959628782
6792,195668,8229146,UMTS,222,88,30092,25700594,,12.441172,41.896869,1531,16,1,1445928370,1445929210,,4310.270839182643
6793,195836,8230970,UMTS,222,10,32017,17675296,,12.483798,41.835727,3275,62,1,1445964246,1447778430,,6088.710892406039
6794,195837,8231048,UMTS,222,10,32018,17599520,,12.460955,41.855920000000005,1816,16,1,1445965371,1446277693,,4610.713149025726
6795,195839,8231055,UMTS,222,10,35005,12494522,,12.44891,41.851805999999996,395,7,1,1445965611,1447432803,,5581.575382074792
6796,195868,8233598,UMTS,222,88,31111,25969817,,12.539749,41.874891,65,2,1,1446015725,1446015844,,4286.247201147705
6797,195873,8233636,UMTS,222,10,32018,17791265,,12.457039,41.859485,584,4,1,1446016424,1447434444,,4494.580894454048
6798,195874,8233641,UMTS,222,10,32018,17685536,,12.461698,41.865378,256,11,1,1446016491,1446016864,,3748.394099030734
6799,195940,8237913,UMTS,222,10,32018,17682701,,12.441213000000001,41.885639000000005,3501,13,1,1446101460,1446628363,,4272.37377252464
6800,195941,8237916,UMTS,222,10,32087,17730336,,12.438797000000001,41.89419,841,12,1,1446101800,1447264372,,4465.15932901297
6801,195951,8238453,UMTS,222,10,32026,17733919,,12.458619,41.847359999999995,114,2,1,1446116250,1446116373,,5517.777271537664
6802,195958,8238845,UMTS,222,88,30328,80906246,,12.471029,41.885512,49,21,1,1446127792,1446135784,,1842.2210966018777
6803,195983,8239692,UMTS,222,88,30472,81057037,,12.541597,41.879090999999995,219,7,1,1446137308,1446138164,,4270.33314789656
6804,195986,8239733,UMTS,222,88,30472,81057032,,12.540667,41.879469,40,3,1,1446137801,1446137921,,4184.3444567382085
6805,195988,8239782,UMTS,222,10,35005,12116096,,12.494797,41.830042999999996,1,2,1,1446138351,1446450264,,6681.811261227759
6806,195990,8239805,UMTS,222,10,32017,17679373,,12.476666999999999,41.838784000000004,3272,25,1,1446138681,1447256173,,5854.097328202764
6807,195991,8239864,UMTS,222,10,32018,17682208,,12.449131,41.855762,372,4,1,1446139821,1446139995,,5241.126297220025
6808,195993,8239992,UMTS,222,10,35005,12496613,,12.456318,41.855964,2,2,1,1446142082,1446142095,,4834.769032603663
6809,195994,8240000,UMTS,222,10,35005,12510114,,12.455508,41.857056,100,2,1,1446142272,1447433214,,4782.720926941924
6810,196006,8241384,UMTS,222,10,32028,17213491,,12.606967,41.909068,48,12,1,1446173164,1446173743,-109.0,9741.350064929906
6811,196049,8243274,UMTS,222,10,32017,17680142,,12.451831,41.854476,370,2,1,1446222650,1446628093,,5198.506803010811
6812,196052,8243350,GSM,222,10,31024,29301,,12.455605,41.856105,11,3,1,1446223930,1446628223,,4859.384695950542
6813,196086,8245368,UMTS,222,10,32018,17684256,,12.470597999999999,41.853967,390,14,1,1446277992,1446279734,,4407.6096629542535
6814,196089,8245551,UMTS,222,10,32018,17684257,,12.480464999999999,41.871016,2214,27,1,1446279784,1446743121,,2344.6935453163974
6815,196091,8245698,UMTS,222,10,32026,17686579,,12.486775999999999,41.888851,491,4,1,1446280384,1452455191,,483.8498287376491
6816,196092,8245744,UMTS,222,10,35005,12461831,,12.48044,41.871441,44,2,1,1446284075,1446284264,,2302.828065684685
6817,196093,8245746,UMTS,222,10,32026,17687072,,12.480364,41.871615999999996,15,2,1,1446284145,1446284385,,2288.012857689081
6818,196095,8245751,UMTS,222,10,32018,17772063,,12.480447,41.87169,6,2,1,1446284324,1446284324,,2277.6188970715007
6819,196107,8246435,UMTS,222,1,61508,99370508,,12.543311,41.948884,3,4,1,1446308390,1446309089,,7772.387752149339
6820,196131,8247381,UMTS,222,99,50063,18683685,,12.561250999999999,41.882678999999996,11,2,1,1446321805,1446322001,,5780.459562337741
