net,cell,lon,lat,range,samples,distanze
1,98829666,12.487142,41.931092,125,11,4565.28109822
1,98829664,12.490702,41.934919,771,38,4971.84636833
1,98502712,12.491283,41.938052,107,15,5318.70858855
1,98838568,12.492178,41.939119,52,4,5436.5266468
1,98835244,12.498423,41.93836,889,6,5376.01753757
1,98829549,12.493984,41.939606,8,2,5492.31623161
1,98829873,12.501322,41.941073,1479,29,5702.53884704
1,98830065,12.508338,41.938579,777,87,5538.10491383
1,98835242,12.507567,41.967168,1575,11,8644.84651037
1,98835091,12.505637,41.975925,1084,21,9588.3636274
1,98830129,12.507478,41.980227,797,24,10081.0554752
1,98835165,12.508385,41.983824,6,4,10486.8689159
1,98831224,12.527244,41.982649,348,36,10671.7989426
1,98437994,12.414456,41.820591,78,7,10077.032563
1,98435530,12.417351,41.822755,645,54,9738.40819725
1,98437628,12.425786,41.832249,1078,68,8480.5933737
1,98437626,12.438445,41.831931,908,76,7865.49615385
1,98437865,12.446524,41.834835,707,22,7227.97785238
1,98435257,12.458712,41.833851,1404,32,6850.23760002
1,98436329,12.456779,41.840588,448,35,6248.55809823
1,98436325,12.462681,41.841045,251,7,5986.25591207
1,98435528,12.466107,41.843319,145,16,5641.18302427
1,98445391,12.475275,41.84055,39,9,5690.66510194
1,98438917,12.474558,41.839617,73,13,5805.93737605
1,98435527,12.476268,41.843377,27,4,5366.02406393
1,98436369,12.477369,41.844812,141,22,5189.14878993
1,98435261,12.476255,41.84611,41,7,5072.83052031
1,98437721,12.472672,41.853783,195,12,4358.9201317
1,98437720,12.473652,41.85934,352,25,3759.33133953
1,98435459,12.471036,41.85879,42,12,3908.37158101
1,98441618,12.472079,41.859004,56,10,3848.58383
1,98436652,12.474281,41.8597,60,9,3701.49742739
1,98436345,12.478663,41.863085,14,4,3215.50878504
1,98436602,12.479771,41.869188,130,5,2553.36611014
1,98435354,12.480559,41.873878,329,12,2056.81923509
1,98436363,12.481646,41.876767,285,30,1733.12430272
1,98436549,12.483995,41.880261,90,8,1300.29374398
1,98436547,12.48965,41.886038,390,26,510.341703548
1,98370967,12.494159,41.889742,264,17,159.085450747
1,98376359,12.492949,41.89066,462,39,74.5420834668
1,98376360,12.499774,41.889434,190,4,623.150557446
1,98379888,12.50133,41.889488,1534,24,750.724034761
1,98376346,12.504263,41.889664,177,37,991.8897646
1,38483,12.507114,41.895889,459,7,1381.37357611
1,98373372,12.509,41.886362,514,26,1446.7609781
1,98379892,12.515036,41.884268,16,5,1995.32020939
1,98370443,12.517743,41.881035,338,34,2340.67464741
1,98369882,12.518589,41.877895,51,9,2570.93790543
1,98764252,12.534212,41.860461,653,17,4793.52883858
1,98369944,12.537296,41.856658,37,5,5271.6961463
1,98379876,12.539269,41.855261,54,8,5497.27163643
1,98772928,12.546491,41.852666,26,4,6129.51663159
1,98764755,12.548468,41.850981,206,6,6377.20415078
1,98775176,12.550972,41.847616,294,14,6785.60375867
1,98765551,12.551398,41.844363,11,2,7066.64820137
1,98765695,12.551894,41.835615,221,19,7821.65125013
1,98769476,12.551417,41.837398,2,2,7643.72212262
1,98765694,12.553619,41.833062,169,4,8132.24654895
1,98765850,12.564411,41.822093,1018,29,9643.80499631
1,98765618,12.579914,41.821935,251,18,10504.0989182
1,98765616,12.582496,41.827955,562,17,10188.5656626
1,98769280,12.587202,41.832707,24,4,10138.5202169
1,98765614,12.589525,41.836161,56,5,10055.4373108
1,98769270,12.590218,41.837721,174,20,9999.66301629
1,98764748,12.59448,41.845088,340,3,9848.73148417
1,98769222,12.597727,41.85207,204,16,9719.50585043
1,98764792,12.598447,41.851445,423,5,9803.6479637
1,39426,12.483814,41.89339,597,81,792.016034557
1,39774,12.481413,41.889186,4,4,912.732851404
1,38486,12.478688,41.887212,713,12,1179.09618914
1,98829525,12.506357,41.967003,140,4,8612.58737233
1,98830243,12.508743,41.936301,4,3,5301.34843338
1,52153,12.509021,41.935552,722,25,5227.05438268
1,39079,12.508332,41.930031,134,22,4621.85393475
1,98841048,12.50785,41.928617,464,11,4459.93926394
1,98829822,12.506457,41.927544,91,12,4313.14412578
1,98829824,12.504852,41.925821,5,2,4093.49499491
